Player,Seasons,Runs,Inns,NO,HS,100,50,4s,6s,BF,Avg,SR
Virat Kohli,49,3487,100,13,113,5,25,302,108,2618,10.17,2.72
David Warner,36,3356,79,13,93,2,32,327,113,2368,15.54,3.94
AB de Villiers,36,2592,77,17,129,1,25,195,148,1629,12.0,4.42
Gautam Gambhir,9,1084,36,6,90,0,10,123,14,888,40.15,13.56
Shikhar Dhawan,49,3663,110,15,82,2,26,404,82,2825,10.68,2.65
Rohit Sharma,49,2494,98,8,85,0,16,245,93,1953,7.27,2.61
Ajinkya Rahane,49,1879,73,6,74,1,11,200,38,1543,5.48,2.49
Murali Vijay,16,561,20,1,89,0,5,60,12,478,8.77,7.33
Quinton de Kock,25,1975,64,5,108,1,14,192,75,1501,15.8,5.26
Suresh Raina,25,1829,72,10,75,0,14,185,53,1397,14.63,5.24
KL Rahul,25,2945,67,13,68,2,27,258,126,2094,23.56,5.63
Robin Uthappa,49,1956,82,2,72,0,13,185,86,1453,5.7,2.75
Aaron Finch,25,1180,51,4,74,0,9,114,49,881,9.44,5.36
Yusuf Pathan,16,804,45,20,63,0,4,65,31,608,12.56,8.27
Karun Nair,36,976,43,3,83,0,6,105,25,782,4.52,3.47
Brendon McCullum,9,800,33,0,60,0,3,83,40,567,29.63,15.68
Dinesh Karthik,49,2169,102,33,53,0,11,208,77,1519,6.32,2.91
Ambati Rayudu,49,2199,85,14,65,1,11,179,100,1737,6.41,2.58
Dwayne Smith,4,563,24,2,73,0,5,67,24,377,70.38,37.34
Sanju Samson,49,2777,100,10,60,3,13,219,128,1984,8.1,2.86
MS Dhoni,49,1991,90,39,64,0,9,128,103,1538,5.8,2.64
Steve Smith,25,1524,53,9,101,1,9,140,35,1210,12.19,5.04
Wriddhiman Saha,49,1374,62,6,56,0,8,150,28,1106,4.01,2.54
Jos Buttler,49,2831,81,10,41,5,15,277,135,1891,8.25,3.06
Manish Pandey,49,2077,77,17,52,0,16,166,62,1649,6.06,2.57
Krunal Pandya,49,1326,85,26,86,0,1,121,50,970,3.87,2.79
Yuvraj Singh,16,651,31,3,44,0,3,65,29,504,10.17,8.07
Chris Gayle,36,1766,60,4,76,1,13,143,127,1248,8.18,3.93
Kieron Pollard,49,1661,86,27,51,0,8,98,114,1137,4.84,2.98
Faf du Plessis,36,1854,54,6,69,0,16,173,67,1396,8.58,3.69
Rishabh Pant,49,2838,97,15,69,1,15,260,129,1918,8.27,3.02
Chris Morris,36,528,38,14,82,0,2,38,30,336,2.44,4.36
JP Duminy,4,227,12,6,49,0,0,16,4,196,28.38,28.95
Ravindra Jadeja,49,1119,77,42,36,0,2,84,41,842,3.26,2.71
Andre Russell,36,1649,65,13,39,0,7,99,153,927,7.63,4.94
Suryakumar Yadav,49,2323,84,11,60,0,16,256,71,1699,6.77,2.79
Moises Henriques,9,490,30,10,31,0,3,43,11,393,18.15,13.85
Glenn Maxwell,36,1580,74,13,68,0,9,135,79,1063,7.31,4.13
Shane Watson,25,1502,65,5,36,2,7,139,81,1130,12.02,5.32
Parthiv Patel,16,1098,46,1,81,0,6,140,26,822,17.16,8.35
Saurabh Tiwary,16,440,17,2,57,0,4,44,9,361,6.88,7.62
Manan Vohra,25,506,25,0,51,0,2,50,20,387,4.05,5.23
David Miller,36,1136,54,19,31,0,4,80,43,889,5.26,3.55
Shaun Marsh,4,423,14,1,56,0,3,49,9,328,52.88,32.24
Hashim Amla,4,577,16,3,96,2,3,60,21,407,72.12,35.44
Thisara Perera,1,150,10,3,34,0,0,7,11,93,150.0,161.29
Marcus Stoinis,49,1070,59,18,52,0,4,83,48,779,3.12,2.8
Deepak Hooda,49,1085,66,14,34,0,6,71,45,841,3.16,2.63
Naman Ojha,9,216,19,4,37,0,0,9,8,207,8.0,11.59
Usman Khawaja,1,127,6,0,30,0,0,14,3,100,127.0,127.0
Kane Williamson,49,2070,73,16,50,0,18,181,63,1640,6.03,2.58
Eoin Morgan,16,739,40,9,51,0,2,54,36,608,11.55,7.6
Sachin Baby,9,141,10,1,33,0,0,11,5,111,5.22,14.11
Shakib Al Hasan,25,410,28,6,66,0,1,36,11,362,3.28,4.53
Gurkeerat Mann Singh,9,282,14,6,51,0,2,30,5,236,10.44,13.28
Axar Patel,49,867,68,24,36,0,0,48,45,647,2.53,2.73
Nitish Rana,49,2181,85,8,70,0,15,190,111,1625,6.36,2.74
Dwayne Bravo,36,397,43,21,22,0,1,29,19,287,1.84,3.84
Harbhajan Singh,25,142,20,11,45,0,0,14,4,143,1.14,3.97
Sam Billings,25,503,27,1,54,0,3,40,20,388,4.02,5.19
George Bailey,1,84,5,1,34,0,0,9,2,98,84.0,85.71
Carlos Brathwaite,16,181,14,1,34,0,0,10,16,111,2.83,10.19
James Faulkner,4,131,11,4,32,0,0,11,0,116,16.38,28.23
Kevin Pietersen,1,73,4,2,37,0,0,4,3,61,73.0,119.67
Sarfaraz Khan,36,421,25,7,35,0,1,47,11,315,1.95,3.71
Ben Cutting,16,230,16,6,39,0,0,15,18,135,3.59,10.65
Stuart Binny,16,255,23,7,21,0,0,18,13,194,3.98,8.21
Martin Guptill,9,270,13,1,48,0,1,24,15,196,10.0,15.31
Pawan Negi,16,213,22,6,19,0,0,13,10,187,3.33,7.12
Travis Head,4,205,10,3,37,0,1,12,8,148,25.62,34.63
Bipul Sharma,4,82,7,4,27,0,0,3,6,49,10.25,41.84
Ashish Reddy,1,47,3,1,32,0,0,2,4,29,47.0,162.07
Hardik Pandya,49,1851,92,32,9,0,7,137,102,1268,5.4,2.98
Bhuvneshwar Kumar,49,130,33,16,21,0,0,14,1,124,0.38,2.14
Kedar Jadhav,36,612,39,11,25,0,2,56,19,527,2.83,3.23
Ishan Kishan,49,1870,70,6,27,0,12,166,85,1413,5.45,2.7
Ravichandran Ashwin,36,457,44,16,29,0,1,32,20,348,2.12,3.65
Iqbal Abdulla,4,42,3,3,33,0,0,4,1,34,5.25,30.88
Karn Sharma,4,85,9,3,26,0,0,8,3,71,10.62,29.93
Rajat Bhatia,4,50,8,6,21,0,0,1,3,37,6.25,33.78
Mitchell McClenaghan,16,72,21,9,20,0,0,5,5,64,1.12,7.03
Mohit Sharma,16,93,18,7,15,0,0,7,2,91,1.45,6.39
Colin Munro,9,177,12,0,16,0,0,19,8,141,6.56,13.95
Shreyas Iyer,49,2337,87,12,19,0,15,196,78,1872,6.81,2.55
Tim Southee,36,103,16,5,25,0,0,6,4,94,0.48,3.04
Praveen Kumar,4,36,9,4,15,0,0,4,0,36,4.5,25.0
Mayank Agarwal,49,1566,65,2,10,1,9,150,59,1125,4.57,2.84
Piyush Chawla,25,98,17,5,11,0,0,9,3,105,0.78,3.73
Chris Lynn,25,1265,39,3,15,0,10,126,63,887,10.12,5.7
Eklavya Dwivedi,1,24,2,0,19,0,0,2,2,14,24.0,171.43
Rajagopal Sathish,1,24,3,0,10,0,0,1,1,24,24.0,100.0
Nikhil Naik,9,31,4,0,22,0,0,2,0,50,1.15,6.89
Dhawal Kulkarni,25,38,10,6,6,0,0,3,0,29,0.3,5.24
Jason Holder,16,231,23,5,13,0,0,11,16,188,3.61,7.68
Akshdeep Nath,16,90,10,0,12,0,0,7,2,98,1.41,5.74
Pradeep Sahu,1,19,2,1,18,0,0,1,1,13,19.0,146.15
Albie Morkel,1,16,1,0,16,0,0,0,2,9,16.0,177.78
Rishi Dhawan,4,51,6,4,11,0,0,4,3,46,6.38,27.72
Farhaan Behardien,1,14,3,1,9,0,0,2,0,13,14.0,107.69
Vinay Kumar,4,19,3,2,12,0,0,1,1,15,2.38,31.67
KC Cariappa,9,24,5,2,12,0,0,0,2,21,0.89,12.7
Kyle Abbott,1,13,3,2,12,0,0,0,1,8,13.0,162.5
Irfan Pathan,4,13,4,0,7,0,0,0,0,16,1.62,20.31
Parveez Rasool,1,10,1,0,10,0,0,1,0,9,10.0,111.11
Nathan Coulter-Nile,25,53,10,4,7,0,0,5,2,48,0.42,4.42
Umesh Yadav,36,102,26,14,7,0,0,7,6,96,0.47,2.95
Lendl Simmons,4,145,8,0,8,0,2,10,9,120,18.12,30.21
Aditya Tare,4,26,5,0,8,0,0,4,0,38,3.25,17.11
Jasprit Bumrah,36,55,18,13,6,0,0,4,1,55,0.25,2.78
Sandeep Sharma,36,41,20,15,5,0,0,3,0,44,0.19,2.59
Mitchell Marsh,9,258,10,0,7,0,2,19,14,201,9.56,14.26
Pravin Tambe,1,7,1,1,7,0,0,1,0,19,7.0,36.84
Sunil Narine,49,985,72,9,4,0,4,110,61,589,2.87,3.41
Peter Handscomb,1,6,1,0,6,0,0,0,0,12,6.0,50.0
Jayant Yadav,4,40,5,1,5,0,0,2,1,36,5.0,27.78
Zaheer Khan,4,10,5,2,4,0,0,1,0,26,1.25,9.62
David Wiese,1,5,1,1,5,0,0,0,0,4,5.0,125.0
Mitchell Johnson,9,41,8,6,4,0,0,3,1,42,1.52,10.85
Imran Tahir,16,20,4,3,5,0,0,3,0,21,0.31,5.95
Amit Mishra,16,75,13,8,3,0,0,4,2,92,1.17,5.09
Barinder Sran,9,10,9,8,2,0,0,0,0,14,0.37,7.94
Ankit Sharma,4,28,2,1,3,0,0,2,1,18,3.5,38.89
Chris Jordan,25,75,11,3,3,0,0,3,3,65,0.6,4.62
Shreyas Gopal,36,168,20,7,2,0,0,18,2,158,0.78,2.95
Mohammad Shami,36,61,18,10,2,0,0,5,2,56,0.28,3.03
Dale Steyn,4,2,2,1,1,0,0,0,0,4,0.25,12.5
Kane Richardson,1,1,1,1,1,0,0,0,0,1,1.0,100.0
Shahbaz Nadeem,25,16,9,4,1,0,0,1,0,31,0.13,2.06
Shadab Jakati,1,1,1,1,1,0,0,0,0,2,1.0,50.0
Ashish Nehra,1,1,2,2,1,0,0,0,0,1,1.0,100.0
Morne Morkel,1,1,2,2,1,0,0,0,0,1,1.0,100.0
Swapnil Singh,4,12,3,0,0,0,0,0,0,20,1.5,15.0
Unmukt Chand,1,0,1,0,0,0,0,0,0,4,0.0,0.0
Adam Zampa,4,5,2,0,0,0,0,1,0,8,0.62,15.62
